Order ID,Order Date,Ship Date,Customer ID,Segment,State,City,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
150630-1525-33,17-Sep-19,21-Sep-19,TB-21520,Consumer,Assam,Hailakandi,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715
150630-1683-34,17-Sep-19,21-Sep-19,TB-21520,Consumer,Assam,Hailakandi,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.546
107727-0249-35,19-Oct-21,23-Oct-21,MA-17560,Home Office,Daman & Diu,Daman,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472,3,0.2,9.9468
117590-4977-36,8-Dec-20,10-Dec-20,GH-14485,Corporate,Daman & Diu,Daman,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544,7,0.2,123.4737
117590-3664-37,8-Dec-20,10-Dec-20,GH-14485,Corporate,Daman & Diu,Daman,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963
117415-2986-38,27-Dec-19,31-Dec-19,SN-20710,Home Office,Daman & Diu,Daman,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415
117415-2545-39,27-Dec-19,31-Dec-19,SN-20710,Home Office,Daman & Diu,Daman,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764
117415-4218-40,27-Dec-19,31-Dec-19,SN-20710,Home Office,Daman & Diu,Daman,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147
117415-0486-41,27-Dec-19,31-Dec-19,SN-20710,Home Office,Daman & Diu,Daman,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564
120999-4093-42,10-Sep-21,15-Sep-21,LC-16930,Corporate,Haryana,Ambala,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564
101343-3479-43,17-Jul-20,22-Jul-20,RA-19885,Corporate,Bihar,Araria,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0,3.894
139619-3282-44,19-Sep-21,23-Sep-21,ES-14080,Corporate,Delhi,Delhi,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616
118255-0171-45,11-Mar-20,13-Mar-20,ON-18715,Corporate,Meghalaya,East Garo Hills,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0,19.7714
118255-3291-46,11-Mar-20,13-Mar-20,ON-18715,Corporate,Meghalaya,East Garo Hills,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0,8.2062
146703-1713-47,20-Oct-18,25-Oct-18,PO-18865,Consumer,Manipur,Bishnupur,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0,8.4784
169194-2167-48,20-Jun-20,25-Jun-20,LH-16900,Consumer,Dadra & Nagar Haveli,Dadra & Nagar Haveli,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,3,0,4.95
169194-3988-49,20-Jun-20,25-Jun-20,LH-16900,Consumer,Dadra & Nagar Haveli,Dadra & Nagar Haveli,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0,6.104
115742-4410-50,18-Apr-19,22-Apr-19,DP-13000,Consumer,Himachal Pradesh,Bilaspur,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0,17.9634
115742-2762-51,18-Apr-19,22-Apr-19,DP-13000,Consumer,Himachal Pradesh,Bilaspur,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,6,0,35.3346
115742-1706-52,18-Apr-19,22-Apr-19,DP-13000,Consumer,Himachal Pradesh,Bilaspur,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0,2.9568
115742-3061-53,18-Apr-19,22-Apr-19,DP-13000,Consumer,Himachal Pradesh,Bilaspur,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0,17.0981
105816-0304-54,11-Dec-20,17-Dec-20,JM-15265,Corporate,Tripura,Dhalai,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0,6.2566
105816-2447-55,11-Dec-20,17-Dec-20,JM-15265,Corporate,Tripura,Dhalai,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0,298.6855
111682-0604-56,17-Jun-20,18-Jun-20,TB-21055,Consumer,Tripura,North Tripura ,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0,52.14
111682-1569-57,17-Jun-20,18-Jun-20,TB-21055,Consumer,Tripura,North Tripura ,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,5,0,15.552
111682-3968-58,17-Jun-20,18-Jun-20,TB-21055,Consumer,Tripura,North Tripura ,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098
111682-0587-59,17-Jun-20,18-Jun-20,TB-21055,Consumer,Tripura,North Tripura ,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0,6.9888
111682-2167-60,17-Jun-20,18-Jun-20,TB-21055,Consumer,Tripura,North Tripura ,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,2,0,3.3
111682-1460-61,17-Jun-20,18-Jun-20,TB-21055,Consumer,Tripura,North Tripura ,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,16.362
111682-1868-62,17-Jun-20,18-Jun-20,TB-21055,Consumer,Tripura,North Tripura ,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0,0.84
135545-4633-63,24-Nov-19,30-Nov-19,KM-16720,Consumer,Bihar,Araria,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0,6.1512
135545-1078-64,24-Nov-19,30-Nov-19,KM-16720,Consumer,Bihar,Araria,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,9.3612
135545-3892-65,24-Nov-19,30-Nov-19,KM-16720,Consumer,Bihar,Araria,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,3,0,68.9631
135545-0397-66,24-Nov-19,30-Nov-19,KM-16720,Consumer,Bihar,Araria,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0,22.3328
164175-1146-67,30-Apr-19,5-May-19,PS-18970,Home Office,Haryana,Bhiwani,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225
106376-2671-68,5-Dec-18,10-Dec-18,BS-11590,Corporate,Arunachal Pradesh,Changlang,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024
106376-2726-69,5-Dec-18,10-Dec-18,BS-11590,Corporate,Arunachal Pradesh,Changlang,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988
119823-0482-70,4-Jun-20,6-Jun-20,KD-16270,Consumer,Gujarat,Dohad,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0,35.6636
106075-4654-71,18-Sep-20,23-Sep-20,HM-14980,Consumer,Tripura,Dhalai,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731
114440-4675-72,14-Sep-21,17-Sep-21,TB-21520,Consumer,Manipur,Bishnupur & Imphal West,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0,8.763
134026-0513-73,26-Apr-19,2-May-19,JE-15745,Consumer,Dadra & Nagar Haveli,Dadra & Nagar Haveli,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,8,0.2,-114.3912
134026-3708-74,26-Apr-19,2-May-19,JE-15745,Consumer,Dadra & Nagar Haveli,Dadra & Nagar Haveli,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,1.213
134026-4123-75,26-Apr-19,2-May-19,JE-15745,Consumer,Dadra & Nagar Haveli,Dadra & Nagar Haveli,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,1,0.2,-18.196
118038-4182-76,9-Dec-21,11-Dec-21,KB-16600,Corporate,Daman & Diu,Daman,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.248,3,0.8,-1.9344
118038-0260-77,9-Dec-21,11-Dec-21,KB-16600,Corporate,Daman & Diu,Daman,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,0.6,-5.8248
118038-0615-78,9-Dec-21,11-Dec-21,KB-16600,Corporate,Daman & Diu,Daman,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.724
147606-3194-79,26-Nov-18,1-Dec-18,JE-15745,Consumer,Daman & Diu,Daman,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.475
127208-2118-80,12-Jun-20,15-Jun-20,SC-20770,Corporate,Andhra Pradesh,Adilabad,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0,56.2032
127208-2309-81,12-Jun-20,15-Jun-20,SC-20770,Corporate,Andhra Pradesh,Adilabad,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,0,8.0352
139451-2053-82,12-Oct-18,16-Oct-18,DN-13690,Consumer,Bihar,Aurangabad,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0,4.172
139451-2370-83,12-Oct-18,16-Oct-18,DN-13690,Consumer,Bihar,Aurangabad,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0,6.2031
149734-0927-84,3-Sep-19,8-Sep-19,JC-16105,Corporate,Uttar Pradesh,Aligarh,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,0.2,62.8075
119662-3656-85,13-Nov-21,16-Nov-21,CS-12400,Home Office,Haryana,Bhiwani,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3,0.2,-48.9549
140088-0863-86,28-May-21,30-May-21,PO-18865,Consumer,Chandigarh,Delhi,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0,33.2156
155558-1998-87,26-Oct-21,2-Nov-21,PG-18895,Consumer,Meghalaya,East Khasi Hills,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0,6.7966
155558-0134-88,26-Oct-21,2-Nov-21,PG-18895,Consumer,Meghalaya,East Khasi Hills,OFF-LA-10000134,Office Supplies,Labels,Avery 511,6.16,2,0,2.9568
159695-3442-89,5-Apr-20,10-Apr-20,GM-14455,Home Office,Daman & Diu,Daman,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7,0.2,13.8572
109806-4930-90,17-Sep-20,22-Sep-20,JS-15685,Corporate,Bihar,Araria,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,0,6.633
109806-4093-91,17-Sep-20,22-Sep-20,JS-15685,Corporate,Bihar,Araria,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.584,2,0.2,8.2782
109806-0304-92,17-Sep-20,22-Sep-20,JS-15685,Corporate,Bihar,Araria,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48,1,0,3.1104
149587-3177-93,31-Jan-19,5-Feb-19,KB-16315,Consumer,Meghalaya,Jaintia Hills,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,12.96,2,0,6.2208
149587-3799-94,31-Jan-19,5-Feb-19,KB-16315,Consumer,Meghalaya,Jaintia Hills,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,0,16.5354
149587-2852-95,31-Jan-19,5-Feb-19,KB-16315,Consumer,Meghalaya,Jaintia Hills,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2,0,16.1504
109484-4738-96,6-Nov-21,12-Nov-21,RB-19705,Home Office,Arunachal Pradesh,West Siang,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,1,0.7,-3.788
161018-0629-97,9-Nov-21,11-Nov-21,PN-18775,Home Office,Tripura,Dhalai,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0,40.5426
157833-1721-98,17-Jun-21,20-Jun-21,KD-16345,Consumer,Bihar,Aurangabad,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,3,0.2,17.9592
149223-0358-99,6-Sep-20,11-Sep-20,ER-13855,Corporate,Meghalaya,Ri Bhoi,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0,22.5852
158568-3256-100,29-Aug-20,2-Sep-20,RB-19465,Home Office,Haryana,Bhiwani,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,7,0.2,22.6184
158568-1767-101,29-Aug-20,2-Sep-20,RB-19465,Home Office,Haryana,Bhiwani,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3,0.2,-10.7973
158568-2609-102,29-Aug-20,2-Sep-20,RB-19465,Home Office,Haryana,Bhiwani,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,3,0.8,-3.0396
129903-4040-103,1-Dec-20,4-Dec-20,GZ-14470,Consumer,Meghalaya,East Khasi Hills,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4,0,11.7208
156867-1552-104,13-Nov-19,17-Nov-19,LC-16870,Consumer,Chandigarh,Delhi,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896,6,0.2,-26.8758
156867-4006-105,13-Nov-19,17-Nov-19,LC-16870,Consumer,Chandigarh,Delhi,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,0.2,-3.8385
156867-2794-106,13-Nov-19,17-Nov-19,LC-16870,Consumer,Chandigarh,Delhi,OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,3,0.7,-25.8174
119004-3499-107,23-Nov-21,28-Nov-21,JM-15250,Consumer,Uttar Pradesh,Allahabad ,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,8,0.2,17.6016
119004-2844-108,23-Nov-21,28-Nov-21,JM-15250,Consumer,Uttar Pradesh,Allahabad ,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,27.992,1,0.2,2.0994
119004-0390-109,23-Nov-21,28-Nov-21,JM-15250,Consumer,Uttar Pradesh,Allahabad ,OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder,3.304,1,0.2,1.0738
129476-0844-110,15-Oct-19,20-Oct-19,PA-19060,Home Office,Haryana,Faridabad,TEC-AC-10000844,Technology,Accessories,Logitech Gaming G510s - Keyboard,339.96,5,0.2,67.992
146780-1934-111,25-Dec-21,30-Dec-21,CV-12805,Corporate,Tripura,Dhalai,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96,2,0,10.9096
128867-0380-112,3-Nov-20,10-Nov-20,CL-12565,Consumer,Jammu & Kashmir,Anantnag,OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2,0,22.788
128867-3981-113,3-Nov-20,10-Nov-20,CL-12565,Consumer,Jammu & Kashmir,Anantnag,OFF-BI-10003981,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",27.24,6,0,13.3476
115259-0621-114,25-Aug-18,27-Aug-18,RC-19960,Consumer,West Bengal,Bankura ,OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.096,14,0.2,14.5348
115259-2600-115,25-Aug-18,27-Aug-18,RC-19960,Consumer,West Bengal,Bankura ,OFF-EN-10002600,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72,2,0.2,1.652
115259-4965-116,25-Aug-18,27-Aug-18,RC-19960,Consumer,West Bengal,Bankura ,OFF-PA-10004965,Office Supplies,Paper,Xerox 1921,23.976,3,0.2,7.4925
115259-2504-117,25-Aug-18,27-Aug-18,RC-19960,Consumer,West Bengal,Bankura ,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464,6,0.2,44.0316
110457-1768-118,2-Mar-19,6-Mar-19,DK-13090,Consumer,Haryana,Jind,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,787.53,3,0,165.3813
136476-3650-119,5-Apr-19,10-Apr-19,GG-14650,Corporate,Dadra & Nagar Haveli,Dadra & Nagar Haveli,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,157.794,1,0.7,-115.7156
103730-2157-120,12-Jun-20,15-Jun-20,SC-20725,Consumer,Dadra & Nagar Haveli,Dadra & Nagar Haveli,FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque,47.04,3,0,18.3456
103730-3910-121,12-Jun-20,15-Jun-20,SC-20725,Consumer,Dadra & Nagar Haveli,Dadra & Nagar Haveli,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,30.84,4,0,13.878
103730-0777-122,12-Jun-20,15-Jun-20,SC-20725,Consumer,Dadra & Nagar Haveli,Dadra & Nagar Haveli,OFF-ST-10000777,Office Supplies,Storage,"Companion Letter/Legal File, Black",226.56,6,0,63.4368
103730-2500-123,12-Jun-20,15-Jun-20,SC-20725,Consumer,Dadra & Nagar Haveli,Dadra & Nagar Haveli,OFF-EN-10002500,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,115.02,9,0,51.759
103730-3875-124,12-Jun-20,15-Jun-20,SC-20725,Consumer,Dadra & Nagar Haveli,Dadra & Nagar Haveli,TEC-PH-10003875,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04,7,0,19.7316
152030-4063-125,26-Dec-18,28-Dec-18,AD-10180,Home Office,Daman & Diu,Daman,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,600.558,3,0.3,-8.5794
134614-4534-126,20-Sep-18,25-Sep-18,PF-19165,Consumer,Haryana,Fatehabad,FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables,617.7,6,0.5,-407.682
107272-3274-127,5-Nov-21,12-Nov-21,TS-21610,Consumer,Arunachal Pradesh,Dibang Valley,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2.388,2,0.7,-1.8308
107272-2974-128,5-Nov-21,12-Nov-21,TS-21610,Consumer,Arunachal Pradesh,Dibang Valley,OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",243.992,7,0.2,30.499
125969-1146-129,6-Nov-20,10-Nov-20,LS-16975,Home Office,Bihar,Araria,FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black",81.424,2,0.2,-9.1602
